item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,dha
0000009716,Bebilon Advance Pronutra 5 Junior Mleko dla przedszkolaka (2x500 g) 1000 g ,dla-dzieci,Y,w porcji 100 ml,59 kcal,2.5 g,0.68 g,7.8 g,5.8 g,0.5 g,1.2 g,0.06 g,1.1 g,0.7 g,
0000009473,LITTLE STEPS 4 Produkt na bazie mleka dla małych dzieci po 2. roku o smaku waniliowym 500 g,dla-dzieci,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,,0 g,,0 g,0 g,
0000013898,Bebiko Pro+ 1 Mleko początkowe dla niemowląt od urodzenia 700 g,dla-dzieci,N,,,,,,,,,,,,
0000001598,Bobo Frut 100% sok jabłko i marchewka po 4 miesiącu 300 ml,dla-dzieci,Y,w porcji 100 ml,44 kcal,0.1 g,0 g,10 g,9.5 g,0.9 g,0.3 g,0.02 g,,,
0000013682,Bebilon 2 Advance Pronutra Mleko następne po 6. miesiącu 200 ml,dla-dzieci,N,,,,,,,,,,,,
0000002335,Nestle Mleczny deserek o smaku waniliowym po 6 miesiącu (4x100 g) 400 g,dla-dzieci,Y,w porcji 100 g,93 kcal,3.1 g,1.9 g,13 g,9.3 g,0.5 g,3 g,0.11 g,,,
0000008658,Nestlé Kaszka mleczno-ryżowa 5 owoców ρo 9. miesiącu 300 g,dla-dzieci,Y,w porcji 100 g,434 kcal,11.2 g,1 g,70 g,25 g,1.2 g,12.6 g,0.28 g,,,
0000016025,BoboVita Kaszka mleczna manna po 4 miesiącu 330 g,dla-dzieci,Y,w porcji 100 g,432 kcal,12 g,2.6 g,64 g,27 g,2.3 g,17 g,0.29 g,,,
0000006655,BoboVita Porcja zbóż Kaszka mleczna 3 zboża malina-truskawka-banan po 6 miesiącu 210 g,dla-dzieci,Y,w porcji 100 g,440 kcal,13 g,3 g,60 g,28 g,5.8 g,17 g,0.29 g,,,
0000002334,Nestle Yogolino Jogurcik jagoda po 6 miesiącu (4x100 g) 400 g ,dla-dzieci,Y,w porcji 100 g,99 kcal,2.8 g,1.7 g,15.5 g,8.5 g,,2.6 g,0.09 g,,,
0000003490,Bebiko Junior 4 NUTRIflor Expert Mleko dla dzieci powyżej 2. roku życia 600 g,dla-dzieci,Y,w porcji 100 ml,65 kcal,2.9 g,0.67 g,8.4 g,6.7 g,0.3 g,1.3 g,0.06 g,1.22 g,0.83 g,
0000003487,Bebiko Junior 3R NUTRIflor Expert Mleko z kleikiem ryżowym dla dzieci powyżej 1. roku życia 600 g,dla-dzieci,Y,w porcji 100 ml,67 kcal,2.8 g,0.64 g,9 g,7.1 g,0.3 g,1.4 g,0.06 g,1.19 g,0.81 g,
0000013687,Bebilon Prosyneo HA 1 Mleko początkowe dla niemowląt od urodzenia 400 g,dla-dzieci,N,,,,,,,,,,,,
0000013685,Bebilon Comfort 2 Żywność specjalnego przeznaczenia medycznego dla niemowląt od 6. miesiąca 400 g,dla-dzieci,Y,w porcji 100 g,464 kcal,21 g,9 g,55 g,24 g,3.9 g,11 g,,8.7 g,3.5 g,
0000002198,Gerber Junior Obiadek Warzywa z kurczakiem i kaszą po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,64 kcal,2.1 g,0.4 g,7.2 g,2.2 g,,2.9 g,0.05 g,,,
0000009452,BoboVita Porcja zbóż Delikatna mleczna owsianka z ryżem jagoda-jeżyna-truskawka po 6 miesiącu 210 g,dla-dzieci,Y,w porcji 100 g,431 kcal,13 g,2.9 g,61 g,27 g,3.2 g,17 g,0.3 g,,,
0000014815,HiPP BIO Chrupiące gwiazdki owocowe dla małych dzieci 1-3 lata 30 g,dla-dzieci,Y,w porcji 100 g,390 kcal,1.9 g,0.3 g,81.5 g,6.2 g,3.5 g,10 g,0.05 g,,,
0000008660,Nestlé Kaszka mleczno-ryżowa truskawka po 6. miesiącu 300 g,dla-dzieci,Y,w porcji 100 g,430 kcal,10.5 g,1 g,71 g,25.9 g,1.2 g,12.3 g,0.28 g,,,
0000009333,Nan Optipro 3 2x325g,dla-dzieci,Y,w porcji 100 g,484 kcal,21.5 g,4.5 g,65.2 g,65.2 g,,7.3 g,0.24 g,10 g,4.7 g,
0000007752,Bebilon Profutura Duobiotik 3 Formuła na bazie mleka po 1. roku życia 800 g,dla-dzieci,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,0 g,0 g,
0000009335,Nan Optipro 4 (2x325g),dla-dzieci,Y,w porcji 100 g,484 kcal,21.9 g,4.5 g,62.5 g,62.5 g,3.7 g,7.3 g,0.24 g,10 g,4.7 g,
0000008546,Dada Baby Food Bio Mus + Zboża Jabłko Banan Truskawka 90 g,dla-dzieci,Y,w porcji 100 g,73 kcal,0.5 g,0.1 g,16 g,8.9 g,2 g,0.8 g,0.1 g,,,
