item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,monounsaturated fatty acids,polyunsaturated fatty acids,carbohydrates,sugar,protein,salt,fiber,dha
0000013295,Nestlé Sinlac Bezglutenowy produkt zbożowy bez dodatku cukru po 6. miesiącu 300 g,dla-dzieci,Y,w porcji 100 g,424 kcal,11 g,1.1 g,,,64.2 g,4.6 g,15 g,0.1 g,3.9 g,
0000013955,Gerber Pełnia zbóż Kaszka &quot;Manna&quot; z mlekiem dla niemowląt po 4 miesiącu 200 g,dla-dzieci,Y,w porcji 100 g,426 kcal,11 g,2 g,,,64.4 g,31 g,15.5 g,0.3 g,3.5 g,
0000008761,HiPP Junior Combiotik 4 Produkt na bazie mleka dla małych dzieci po 2. roku 550 g,dla-dzieci,Y,w porcji 100 ml,58 kcal,3.2 g,1.4 g,1.4 g,0.4 g,5.8 g,5.8 g,1.1 g,0.05 g,0.8 g,
0000009472,LITTLE STEPS 3 Produkt na bazie mleka dla małych dzieci po 1. roku 500 g,dla-dzieci,N,,,,,,,,,,,,
0000003486,Bebiko 2R NUTRIflor Expert Mleko następne z kleikiem ryżowym dla niemowląt powyżej 6. miesiąca życia 600 g,dla-dzieci,Y,w porcji 100 ml,68 kcal,3.2 g,1 g,1.6 g,0.5 g,8.3 g,6.5 g,1.4 g,0 g,0.3 g,
0000014339,HiPP AR Żywność specjalnego przeznaczenia medycznego dla niemowląt od urodzenia 600 g,dla-dzieci,Y,w porcji 100 ml,66 kcal,3.6 g,1.5 g,1.6 g,0.5 g,6.9 g,6.9 g,1.25 g,0.05 g,0.4 g,13.2 mg
0000009334,Nan Optipro 2 mleko 2x325 g,dla-dzieci,Y,w porcji 100 g,500 kcal,24.2 g,2.5 g,16 g,4.4 g,62 g,62 g,8.5 g,0 g,,
0000014341,HiPP HA 2 Combiotik Preparat do dalszego żywienia niemowląt po 6. miesiącu 600 g,dla-dzieci,Y,w porcji 100 ml,68 kcal,3.7 g,1.5 g,1.7 g,0.5 g,7.2 g,7.2 g,1.3 g,,0.4 g,13.6 g
0000013641,Gerber Pełnia zbóż Kaszka owsiano-pszenna ze śliwką dla niemowląt po 6 miesiącu 200 g,dla-dzieci,Y,w porcji 100 g,400 kcal,4.3 g,0.8 g,,,77 g,22 g,11 g,0.1 g,4.5 g,
0000013666,BoboVita Moja Pierwsza Kaszka mleczno-ryżowa banan bez dodatku cukru po 4 miesiącu 230 g,dla-dzieci,Y,w porcji 100 g,436 kcal,11 g,2.7 g,,,68 g,29 g,14 g,0.29 g,1.4 g,
0000015470,Nestlé Proste Zboża Kaszka ryżowo-kukurydziana o smaku morelowym po 6. miesiącu 144 g,dla-dzieci,Y,w porcji 100 g,389 kcal,1 g,0.3 g,,,88 g,2.4 g,6.5 g,0.02 g,1 g,
0000013665,BoboVita Moja Pierwsza Kaszka mleczna manna bez dodatku cukru po 4 miesiącu 230 g,dla-dzieci,Y,w porcji 100 g,433 kcal,12 g,2.6 g,,,64 g,26 g,17 g,0.29 g,2.5 g,
0000013634,Gerber Organic Obiadek dynia słodki ziemniak po 4 miesiącu 125 g,dla-dzieci,Y,w porcji 100 g,38 kcal,0.1 g,0 g,,,7.5 g,4.8 g,0.9 g,0.1 g,1.5 g,
0000007931,NAN OPTIPRO Plus 4 Produkt na bazie mleka dla małych dzieci 800 g,dla-dzieci,Y,w porcji 100 g,484 kcal,21.5 g,4.5 g,10 g,4.7 g,64 g,46.5 g,7.3 g,0.24 g,2.4 g,
0000003489,Bebiko Junior 4R NUTRIflor Expert Mleko z kleikiem ryżowym dla dzieci powyżej 2. roku życia 600 g,dla-dzieci,Y,w porcji 100 ml,65 kcal,2.7 g,0.66 g,1.16 g,0.78 g,8.7 g,6.9 g,1.4 g,0.06 g,0.3 g,
0000009336,Nan Optipro 5 (2x325g),dla-dzieci,Y,w porcji 100 g,484 kcal,21.7 g,4.5 g,10 g,4.7 g,64.8 g,64.8 g,7.3 g,0.24 g,,
0000013235,BoboVita Porcja zbóż Kaszka bezmleczna 7 zbóż zbożowo-jaglana pełnoziarnista po 8 miesiącu 170 g,dla-dzieci,Y,w porcji 100 g,374 kcal,2.5 g,0.6 g,,,69 g,1.1 g,13 g,0.01 g,13 g,
0000002140,BoboVita Kaszka zbożowa jabłko śliwka po 8 miesiącu 270 g,dla-dzieci,Y,w porcji 100 g,375 kcal,2.1 g,0.48 g,,,73 g,15 g,11 g,,12 g,
0000006718,BoboVita kaszka mleczno-ryżowa kakao po 12 miesiącu 330g,dla-dzieci,Y,w porcji 100 g,430 kcal,10 g,2.5 g,,,70 g,30 g,13 g,0.25 g,,
