item_id,item_name,item_type,nutrition_flag,wartość,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,kcal,kJ,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000003658,Ciastko duet truskawkowy z budyniem 94 g,piekarnia,Y,w porcji 100 g,20 g,10 g,40 g,12 g,1.6 g,5.3 g,0.75 g,359 kcal,1502 kj,,,,
0000003559,Sonko Pieczywo chrupkie lekkie ze słonecznikiem 170 g,piekarnia,Y,w porcji 100 g,1.5 g,0.2 g,78.1 g,0.5 g,3.5 g,8.9 g,1 g,369 kcal,,,,,
0000001261,Pano Chleb wiejski z dodatkiem naturalnego zakwasu żytniego 500 g,piekarnia,Y,w porcji 100 g,1.2 g,0.3 g,47 g,2.9 g,3.2 g,6.8 g,1.4 g,232 kcal,,,,,
0000004371,Pasztecik z pieczarkami i kapustą 40 g,piekarnia,Y,w porcji 100 g,15 g,3.7 g,27 g,3.4 g,,5.4 g,1.6 g,268 kcal,1098 kj,,,,
0000005344,Półbagietka 110 g,piekarnia,Y,w porcji 100 g,1.2 g,0.3 g,58 g,2.2 g,3 g,9.5 g,1.6 g,287 kcal,1216 kj,,,,
0000003831,Mini pizza z salami 125 g,piekarnia,Y,w porcji 100 g,9.02 g,3.76 g,35.3 g,2.83 g,,10.31 g,2.21 g,272 kcal,1137 kj,,,,
0000007967,Pano Wafle kukurydziane z solą morską 105 g,piekarnia,Y,w porcji 100 g,2.3 g,0.4 g,77 g,1.7 g,5.3 g,11 g,1.05 g,381 kcal,,,,,
0000003516,Pano Chleb tostowy maślany 500 g,piekarnia,Y,w porcji 100 g,3.2 g,1.7 g,50 g,2.9 g,,8.6 g,1.2 g,267 kcal,,,,,
0000007165,Chleb fitness 410g,piekarnia,Y,w porcji 100 g,6.3 g,0.8 g,43 g,2 g,3.6 g,12 g,1.4 g,294 kcal,1196 kj,,,,
0000019229,Bułka poznańska z makiem 75 g,piekarnia,Y,w porcji 100 g,4.3 g,0.6 g,52 g,2.1 g,3.3 g,8.8 g,1.4 g,290 kcal,1225 kj,,,,
0000007408,Bułka z mąki żytniej 55 g,piekarnia,Y,w porcji 100 g,2.6 g,0.4 g,47 g,3.8 g,4.5 g,10 g,1.4 g,263 kcal,1114 kj,,,,
0000001949,Pano Bułka tarta Pszenna 450 g,piekarnia,Y,w porcji 100 g,1.4 g,0.4 g,72 g,4.4 g,4.2 g,11 g,1.8 g,351 kcal,,,,,
0000005365,Bułka z dynią BIO 70 g,piekarnia,Y,w porcji 100 g,7.6 g,1.5 g,52 g,1.3 g,,11 g,1.5 g,329 kcal,1387 kj,,,,
0000005412,Bułka z serem żółtym 70 g,piekarnia,Y,w porcji 100 g,5.1 g,3 g,48 g,0.7 g,,11 g,1.5 g,286 kcal,1208 kj,,,,
0000009609,"Bagietka duża, 405 g",piekarnia,Y,w porcji 100 g,1.4 g,0.3 g,52 g,2 g,2.4 g,9 g,1.4 g,262 kcal,1109 kj,,,,
0000002774,Ciastko Duet z owocami leśnymi 115 g,piekarnia,Y,w porcji 100 g,13 g,7.8 g,37 g,12 g,1.6 g,4.9 g,0.8 g,283 kcal,1185 kj,,,,
0000006870,Pizza z kurczakiem i grillowanymi warzywami 145 g,piekarnia,Y,w porcji 100 g,5.68 g,2.24 g,36.3 g,3.37 g,,10.37 g,1.98 g,248 kcal,1040 kj,,,,
0000009829,Przekąska kurczak z curry 95 g,piekarnia,Y,w porcji 100 g,7.97 g,0.83 g,23.08 g,2.35 g,,8.91 g,1.42 g,243 kcal,1017 kj,,,,
0000008790,Bułka śniadaniowa 80 g,piekarnia,Y,w porcji 100 g,2.1 g,0.4 g,53 g,4.8 g,2.9 g,8.8 g,1.4 g,273 kcal,1158 kj,,,,
0000000866,Pano Bułeczki śniadaniowe 400 g,piekarnia,Y,w porcji 100 g,11 g,1.4 g,53 g,15 g,2.2 g,8.2 g,0.7 g,348 kcal,,,,,
0000006417,7DAYS MINI COCOA 185 g,piekarnia,N,,,,,,,,,,,,,,
0000004823,Hot dog z berlinką i sosem 1szt.,piekarnia,Y,w porcji 100 g,25 g,8.9 g,27 g,3.8 g,,9 g,1.9 g,369 kcal,,,,,
0000009559,"Turecki borek ze szpinakiem i serem, 75 g",piekarnia,Y,w porcji 100 g,16 g,7.1 g,28 g,2.4 g,2.2 g,6.2 g,0.98 g,287 kcal,1197 kj,,,,
0000004690,Chleb całe ziarno 300 g,piekarnia,Y,w porcji 100 g,16 g,1.5 g,34 g,2.5 g,7.8 g,12 g,1.3 g,333 kcal,1393 kj,,,,
0000008625,"Chleb z suszonymi pomidorami i oliwkami, 350 g",piekarnia,Y,w porcji 100 g,3.2 g,0.6 g,44 g,2.5 g,2.9 g,8.7 g,1.6 g,245 kcal,1038 kj,,,,
0000007204,7 Days Rogalik z nadzieniem kakaowym 60 g,piekarnia,Y,w porcji 100 g,28 g,14 g,42 g,17 g,,7 g,0.42 g,452 kcal,,,,,
0000004628,Pano Chleb wieloziarnisty Złoty łan z dodatkiem naturalnego zakwasu żytniego 400 g,piekarnia,Y,w porcji 100 g,4.6 g,0.6 g,46 g,2.3 g,6.2 g,9.8 g,1.3 g,277 kcal,,,,,
0000009605,Bio Chleb żytni 100% z płatkami żytnimi 450 g,piekarnia,Y,w porcji 100 g,0.8 g,0.2 g,49 g,3.8 g,6.1 g,4.7 g,1.4 g,234 kcal,991 kj,,,,
0000015363,PANO Bułki do burgerów Master 320 g,piekarnia,Y,w porcji 100 g,3.9 g,0.7 g,45 g,5.1 g,3.3 g,9.9 g,1.1 g,262 kcal,,,,,
0000005895,Pano Chleb żytni 100% pełnoziarnisty 300 g,piekarnia,Y,w porcji 100 g,1.4 g,0.2 g,36 g,3 g,9.3 g,5.6 g,1.1 g,198 kcal,,,,,
0000003557,Sonko Pieczywo chrupkie lekkie 7 ziaren 170 g,piekarnia,Y,w porcji 100 g,0.9 g,0.2 g,77.6 g,0.5 g,6 g,8.2 g,1 g,363 kcal,,,,,
0000001666,Pano Bułki pszenne hamburgerowe z sezamem 212 g,piekarnia,Y,w porcji 100 g,2.8 g,0.4 g,49 g,6.4 g,1.9 g,9.8 g,1.1 g,263 kcal,,,,,
0000002077,Pano Hot dog pszenny z dodatkiem mąki graham 240 g,piekarnia,Y,w porcji 100 g,3.2 g,0.5 g,52 g,4.8 g,4.5 g,9.7 g,0.91 g,283 kcal,,,,,
0000008728,Ciacho z kruszonką 250 g,piekarnia,Y,w porcji 100 g,9.9 g,2.7 g,51 g,11 g,1.6 g,7 g,0.67 g,319 kcal,1343 kj,,,,
0000004872,Chleb rodzinny 450 g,piekarnia,Y,w porcji 100 g,1 g,0.3 g,52 g,1.9 g,2.5 g,8.2 g,1.5 g,251 kcal,,,,,
0000005251,Bułka poranna fitness 80 g,piekarnia,Y,w porcji 100 g,6.7 g,0.8 g,50 g,5.3 g,6 g,11 g,1.2 g,292 kcal,1230 kj,,,,
0000007965,Pano Wafle kukurydziane z ziołami prowansalskimi 105 g,piekarnia,Y,w porcji 100 g,4.2 g,0.6 g,71 g,1.6 g,9 g,10 g,0.53 g,380 kcal,,,,,
0000006487,Chleb z koszyczka 550 g,piekarnia,Y,w porcji 100 g,1.3 g,0.3 g,51 g,1.8 g,,8.2 g,1.4 g,256 kcal,1083 kj,,,,
0000005200,Bułka codzienna 100 g,piekarnia,Y,w porcji 100 g,1.9 g,0.3 g,53 g,2.1 g,2.7 g,,1.8 g,272 kcal,1152 kj,,,,
0000010359,"Drożdżówka z budyniem, 120 g",piekarnia,Y,w porcji 100 g,12 g,5.5 g,52 g,18 g,1.3 g,6.2 g,0.67 g,343 kcal,1444 kj,,,,
0000004180,Bułka paryska 240 g,piekarnia,Y,w porcji 100 g,1.1 g,0.3 g,53 g,1.9 g,2.5 g,9.7 g,1.6 g,266 kcal,1129 kj,,,,
0000007370,Chleb nowodworski z maślanką 450 g,piekarnia,Y,w porcji 100 g,1.6 g,0.4 g,47 g,2.2 g,4.1 g,8.8 g,1.5 g,247 kcal,1045 kj,,,,
0000008063,Chleb śniadaniowy 500 g,piekarnia,Y,w porcji 100 g,1 g,0.3 g,50 g,1.3 g,,7 g,1.5 g,242 kcal,1027 kj,,,,
0000010509,Chleb graham 400 g,piekarnia,Y,w porcji 100 g,1.4 g,0.3 g,46 g,1.7 g,6.5 g,8 g,1.4 g,242 kcal,1022 kj,,,,
0000003801,Półbagietka z ziarnami 120 g,piekarnia,Y,w porcji 100 g,6.6 g,0.8 g,47 g,1.9 g,3.8 g,12 g,1.5 g,301 kcal,1271 kj,,,,
0000015400,Polskie Młyny Pitta chlebek (4 szt.) 250 g,piekarnia,Y,w porcji 100 g,1.2 g,0.3 g,45.4 g,2 g,1.6 g,8.9 g,0.3 g,231 kcal,,,,,
0000015457,Smashed Bajgle wieloziarniste (4 x 75 g) 300 g,piekarnia,Y,w porcji 100 g,4.1 g,0.6 g,51 g,9.4 g,5.1 g,11 g,0.76 g,296 kcal,,,,,
0000008189,"Melvit Slim Bread ze słonecznikiem, sezamem, siemieniem 130g",piekarnia,Y,w porcji 100 g,29 g,5 g,20 g,3.5 g,18 g,20 g,1.4 g,457 kcal,,,,,
0000009593,Chleb Multi ziarno 335 g,piekarnia,Y,w porcji 100 g,7.3 g,0.8 g,46 g,1.6 g,5 g,10 g,1.4 g,300 kcal,1262 kj,,,,
0000004714,Dan Cake Gofry (6 szt.) 250 g,piekarnia,Y,w porcji 100 g,33 g,8.2 g,46 g,24 g,,7.7 g,0.58 g,507 kcal,,,,,
0000008190,Melvit Crispy Pieczywo chrupkie żytnie z pomidorami i bazylią 130 g,piekarnia,Y,w porcji 100 g,20 g,2.7 g,45 g,8.8 g,13 g,12 g,2.7 g,434 kcal,,,,,
0000003830,Ciastko z pomidorami i mozzarellą 105 g,piekarnia,Y,w porcji 100 g,13 g,6.5 g,29 g,2.7 g,1.9 g,6.2 g,0.96 g,262 kcal,1095 kj,,,,
0000006096,Chleb pasterski 500 g,piekarnia,Y,w porcji 100 g,1.4 g,0.3 g,51 g,2.3 g,2.7 g,9.1 g,1.5 g,260 kcal,1101 kj,,,,
0000014683,Paluch z oliwkami 80 g,piekarnia,Y,w porcji 100 g,6 g,0.6 g,43 g,2.1 g,3.3 g,7.7 g,1.7 g,263 kcal,1110 kj,,,,
0000003001,Dan Cake Bułeczki mleczne z czekoladą mleczną (10 x 40 g) 400 g,piekarnia,Y,w porcji 100 g,13 g,3 g,57 g,19 g,,8.4 g,0.83 g,382 kcal,,,,,
0000015458,Smashed Bajgle (4 x 75 g) 300 g ,piekarnia,Y,w porcji 100 g,2.7 g,0.4 g,53 g,11 g,4 g,11 g,0.73 g,286 kcal,,,,,
0000005896,Pano Chleb żytni 100% pełnoziarnisty z dodatkiem amarantusa i komosy ryżowej 300 g,piekarnia,Y,w porcji 100 g,5.1 g,0.7 g,32 g,3.4 g,12 g,5.4 g,1.2 g,220 kcal,,,,,
0000006299,Bułka 4 pory roku 80 g,piekarnia,Y,w porcji 100 g,2.4 g,0.4 g,49 g,1.2 g,8.7 g,9 g,1.3 g,261 kcal,1106 kj,,,,
0000008591,"Bułka z siemien lnianym i sezamem, 67 g",piekarnia,Y,w porcji 100 g,4 g,1.3 g,49 g,2.8 g,3.5 g,8.6 g,1.2 g,274 kcal,1159 kj,,,,
0000008791,Bułka śniadaniowa z ziarnami 80 g,piekarnia,Y,w porcji 100 g,6.9 g,0.8 g,49 g,4.7 g,3.2 g,,1.3 g,310 kcal,1307 kj,,,,
0000009582,Bio Bułka z chia i siemieniem 75 g,piekarnia,Y,w porcji 100 g,3.2 g,0.4 g,52 g,1.2 g,5.2 g,8.8 g,1.5 g,282 kcal,1194 kj,,,,
0000015459,Bajgle z sezamem (4 x 75 g) 300 g,piekarnia,Y,w porcji 100 g,5.3 g,0.7 g,49 g,5.3 g,4 g,10 g,0.72 g,294 kcal,,,,,
0000014669,Tost z szynką i serem 120 g,piekarnia,Y,w porcji 100 g,9.4 g,5.7 g,33.4 g,2.1 g,2 g,9.2 g,1.3 g,259 kcal,1090 kj,,,,
0000017823,Maretti Bruschetta mix warzyw 70 g,piekarnia,Y,w porcji 100 g,18 g,7.3 g,66 g,5.5 g,2.7 g,9 g,3 g,467 kcal,,0 g,0 g,0 g,0 g
0000008590,Zapiekanka z warzywami grillowanymi sosem i serem 100 g,piekarnia,Y,w porcji 100 g,14.04 g,2.74 g,27.1 g,5.12 g,,9.62 g,1.64 g,282 kcal,1182 kj,,,,
0000010817,Baitz Cocoa Rogale 5-pak 240 g,piekarnia,Y,w porcji 100 g,25 g,12 g,44 g,17 g,2.5 g,7 g,0.5 g,437 kcal,,,,,
0000004284,"Bułka orkiszowa, 70 g",piekarnia,Y,w porcji 100 g,5.1 g,0.7 g,47 g,2.9 g,3.9 g,10 g,1.5 g,282 kcal,1189 kj,,,,
0000008156,Pano Pieczywo kukurydziane chrupkie 160 g,piekarnia,Y,w porcji 100 g,0.9 g,0.2 g,83 g,1.1 g,3.5 g,7.8 g,0.88 g,376 kcal,,,,,
0000007966,Pano Wafle kukurydziane z kaszą jaglaną i pieprzem 105 g,piekarnia,Y,w porcji 100 g,2.8 g,0.4 g,77 g,1.8 g,5.5 g,11 g,1.18 g,386 kcal,,,,,
0000006244,San Suchary Bieszczadzkie 90 g,piekarnia,Y,w porcji 100 g,5 g,1.9 g,72 g,12 g,3.5 g,9.3 g,0.98 g,375 kcal,,,,,
0000008157,Pano Pieczywo żytnie chrupkie 200 g,piekarnia,Y,w porcji 100 g,0.8 g,0.2 g,74 g,1.4 g,10 g,8.9 g,0.75 g,361 kcal,,,,,
0000008653,Sunny Family Wafle zbożowe naturalne 45 g,piekarnia,Y,w porcji 100 g,1.5 g,0.3 g,75 g,4.3 g,3.4 g,13 g,0.52 g,370 kcal,,,,,
0000007369,Bułka wrocławska z makiem 65 g,piekarnia,Y,w porcji 100 g,3.5 g,0.6 g,55 g,1.9 g,3.2 g,9.2 g,1.4 g,292 kcal,1237 kj,,,,
0000006285,"Bagietka z pradawnej odmiany pszenicy, 250 g",piekarnia,Y,w porcji 100 g,1.4 g,0.3 g,47 g,2.6 g,2.1 g,10 g,1.2 g,243 kcal,1029 kj,,,,
0000014851,Swirl z czekoladą mleczną Milka 80 g,piekarnia,Y,w porcji 100 g,17 g,11 g,45 g,19 g,1.9 g,7.3 g,0.9 g,368 kcal,1543 kj,,,,
0000009852,"Warkocz klonowy, 86 g",piekarnia,Y,w porcji 100 g,30.6 g,11.8 g,47.1 g,14.1 g,1.6 g,4.8 g,0.39 g,484 kcal,2016 kj,,,,
0000010904,"Przekąska z wołowiną w sosie bolońskim, 105 g",piekarnia,Y,w porcji 100 g,3.32 g,0.99 g,33.81 g,4.52 g,,8.83 g,1.64 g,209 kcal,874 kj,,,,
0000014713,"Mini bagietka w stylu włoskim, 70 g",piekarnia,Y,w porcji 100 g,9.4 g,5.5 g,54 g,2.9 g,3.1 g,9.5 g,1.6 g,343 kcal,1444 kj,,,,
0000014906,Good Food Wafle ryżowe Multigrain 100 g,piekarnia,Y,w porcji 100 g,5.9 g,0.9 g,72 g,1.2 g,5.3 g,9.8 g,0.23 g,391 kcal,,,,,
