item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch,omega3,kJ,ergokalcyferol,dha
0000005694,"Teekanne Herbatka owocowa Świat Owoców Malina z cytryną (20 x 2,25 g) 45 g",artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000007582,Lubella Makaron pióra 400 g,artykuly-spozywcze,Y,w porcji 100 g,351 kcal,1.4 g,0.4 g,70 g,4.2 g,3 g,13 g,0.03 g,,,,,,,,
0000003682,Nasza Spiżarnia Fasola biała konserwowa 400 g,artykuly-spozywcze,Y,w porcji 100 g,102 kcal,0.5 g,0.1 g,14 g,2.2 g,7.5 g,6.9 g,0.91 g,,,,,,,,
0000015934,Nasza Spiżarnia Pomidory całe 400 g,artykuly-spozywcze,Y,w porcji 100 g,20 kcal,0.5 g,0 g,3.1 g,3.1 g,1.1 g,1.1 g,0.6 g,,,,,,,,
0000009227,Kamis Czosnek płatki 15 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000015383,Marinero Tuńczyk kawałki w sosie własnym 185 g,artykuly-spozywcze,Y,w porcji 100 g,75 kcal,0.5 g,0 g,0.5 g,0 g,0 g,17 g,0.61 g,,,,,,,,
0000003015,Swojska Chata Ogórki kiszone 700/400g,artykuly-spozywcze,Y,w porcji 100 g,6 kcal,0.1 g,0.1 g,0.2 g,0.2 g,1.2 g,0.5 g,2 g,,0.1 g,,,,,,
0000016901,Orbit Refreshers Tropical Bezcukrowa guma do żucia (12 sztuk) 26 g,artykuly-spozywcze,Y,w porcji 100 g,170 kcal,0 g,0 g,69 g,0 g,,0 g,0 g,,,69 g,,,,,
0000008408,HiPP BIO Musli Przyjaciel Batonik jabłka-brzoskwinie ze zbożami po 1. roku 20 g,artykuly-spozywcze,Y,w porcji 100 g,380 kcal,9.5 g,1.1 g,65.2 g,33.3 g,6.5 g,5.2 g,0.05 g,,,,,,,,
0000009932,Przysnacki Chipsy w kotle prażone papryka czerwona 125 g,artykuly-spozywcze,Y,w porcji 100 g,505 kcal,28 g,2.8 g,54 g,3.6 g,,6.3 g,,,,,,,,,
0000017764,Lubella Makaron alfabet 350 g,artykuly-spozywcze,Y,w porcji 100 g,351 kcal,1.4 g,0.4 g,70 g,4.2 g,3 g,13 g,0.03 g,,,,,,,,
0000000478,Pastani Makaron Świderki  500 g,artykuly-spozywcze,Y,w porcji 100 g,350 kcal,1.6 g,0.3 g,69 g,4.1 g,,13 g,0 g,,,,,,,,
0000004826,Pudliszki Ketchup łagodny 990 g,artykuly-spozywcze,Y,w porcji 100 g,116 kcal,0 g,0 g,27 g,20 g,1 g,1.6 g,2.6 g,,,,,,,,
0000003233,Vitanella Płatki owsiane górskie 500 g,artykuly-spozywcze,Y,w porcji 100 g,363 kcal,5.7 g,1.2 g,60 g,1.8 g,10 g,13 g,0.02 g,,,,,,,,
0000016919,Lay's Chipsy ziemniaczane o smaku papryki 130 g,artykuly-spozywcze,Y,w porcji 100 g,517 kcal,30 g,3 g,52 g,2.2 g,4.6 g,6.6 g,1.3 g,,,,,,,,
0000006946,Kamis Lubczyk 8 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000001366,GustoBello Tortellini al Formaggio z dodatkiem serów 250 g,artykuly-spozywcze,Y,w porcji 100 g,378 kcal,8.5 g,5.2 g,58 g,1.8 g,4.8 g,15 g,1.2 g,,,,,,,,
0000003060,Winiary Królewski Rosół drobiowy (15 sztuk) 135 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000004561,Kamis Mieszanka przyprawowa przyprawa do ryb 20 g,artykuly-spozywcze,Y,w porcji 100 g,210 kcal,5.1 g,0.8 g,26 g,8.2 g,,9.6 g,36.9 g,,,,,,,,
0000007102,Heinz Ketchup pikantny  455g,artykuly-spozywcze,Y,w porcji 100 g,108 kcal,0.1 g,0 g,25.6 g,23.3 g,,1.2 g,3 g,,,,,,,,
0000005090,Culineo Gorąca Chwila Serowa z grzankami 21 g,artykuly-spozywcze,Y,w porcji 100 ml,44 kcal,2.1 g,1.2 g,4.8 g,1.1 g,0.3 g,1.3 g,1 g,,,,,,,,
0000007103,Heinz Ketchup Łagodny 450 g,artykuly-spozywcze,Y,w porcji 100 g,102 kcal,0.1 g,0 g,23.2 g,22.8 g,,1.2 g,1.8 g,,,,,,,,
0000007660,Nasze Smaki Smalec z mięsem i cebulką 250 g,artykuly-spozywcze,Y,w porcji 100 g,641 kcal,68 g,26 g,1.6 g,1.6 g,0.7 g,5.3 g,1.7 g,,,,,,,,
0000005039,Przysnacki Prażynki solone 110 g,artykuly-spozywcze,Y,w porcji 100 g,520 kcal,30 g,2.3 g,60 g,0.5 g,0.8 g,1.3 g,2 g,,,,,,,,
0000004689,Zott Monte Snack Ciastko z kremem mlecznym i czekoladowo-orzechowym (4 x 29 g) 116 g,artykuly-spozywcze,Y,w porcji 100 g,484 kcal,33.6 g,21.2 g,39.7 g,29.2 g,,5.1 g,0.54 g,,,,,,,,
0000009003,Herbarium Mięta z jabłkiem  Herbatka ziołowo-owocowa aromatyzowana z miętą o smaku jabłka 20 torebek 40 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000003011,Kikkoman Sos sojowy 150 ml,artykuly-spozywcze,Y,w porcji 100 ml,77 kcal,0 g,0 g,3.2 g,0.6 g,,10 g,16.9 g,,,,,,,,
0000004424,E. Wedel Wafel WW 47 g,artykuly-spozywcze,Y,w porcji 100 g,540 kcal,29 g,15 g,61 g,53 g,2.8 g,7.5 g,0.2 g,,,,,,,,
0000008642,Knorr Rosół wołowy (12 x 10 g) 120 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000006662,Kamis Tymianek 8 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000009461,Lipton Fruit Truskawka i Rabarbar 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.5 g,0.5 g,0.5 g,,0.5 g,0.01 g,,,,,,,,
0000009419,Herbapol Zielnik Polski rumianek 20 torebek 30 g,artykuly-spozywcze,Y,w porcji 100 ml,0 kcal,0 g,0 g,0 g,0 g,,0 g,0 g,,,,,,,,
0000009462,Lipton Fruit Mango i Czarna porzeczka 20 torebek,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.5 g,0.5 g,0.5 g,,0.5 g,0.01 g,,,,,,,,
0000015446,Pastani Makaron Chifferi Durum 500 g,artykuly-spozywcze,Y,w porcji 100 g,354 kcal,1.5 g,0.4 g,71 g,2.9 g,3 g,12 g,0.01 g,,,,,,,,
0000009231,Kamis Przyprawa Karkówki 20 g,artykuly-spozywcze,Y,w porcji 100 g,211 kcal,6.7 g,0.7 g,21 g,2.7 g,,9.6 g,37.9 g,,,,,,,,
0000009569,"Fritt Guma rozpuszczalna o smaku pomarańczowym z witaminą C (6x11,7 g) 70 g",artykuly-spozywcze,Y,w porcji 100 g,401 kcal,8.5 g,5.7 g,79 g,50 g,,2 g,0.01 g,,,,,,,,
0000008687,Orbit Spearmint XXL 42 drażetki/58g,artykuly-spozywcze,Y,w porcji 100 g,149 kcal,0 g,0 g,62 g,0 g,,0 g,0 g,,,62 g,,,,,
0000004162,Box Słomka ptysiowa z cukrem 200 g,artykuly-spozywcze,Y,w porcji 100 g,513 kcal,29 g,3 g,48 g,15 g,6 g,12 g,0.8 g,,,,,,,,
0000016056,Przysnacki Chipsy w kotle prażone papryka czerwona 125 g,artykuly-spozywcze,Y,w porcji 100 g,505 kcal,28 g,2.8 g,54 g,3.6 g,,6.3 g,,,,,,,,,
0000009566,"Fritt Guma rozpuszczalna o smaku wiśniowym z witaminą C (6x11,7 g) 70 g",artykuly-spozywcze,Y,w porcji 100 g,401 kcal,8.5 g,5.7 g,79 g,50 g,,2 g,0.01 g,,,,,,,,
0000016172,Pudliszki Koncentrat pomidorowy 30% 90 g,artykuly-spozywcze,Y,w porcji 100 g,105 kcal,0.5 g,0.1 g,19 g,15 g,3.6 g,4.7 g,0.06 g,,,,,,,,
0000000445,Rapsodia Dżem brzoskwiniowy o obniżonej zawartości cukrów 410 g,artykuly-spozywcze,Y,w porcji 100 g,146 kcal,0.1 g,0.1 g,35 g,35 g,,0.6 g,0 g,,,,,,,,
0000015493,Winiary Sos pieczarkowy 30 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000000071,Plony Natury Mąka pszenna T 650 Babuni 1 kg,artykuly-spozywcze,Y,w porcji 100 g,342 kcal,1.2 g,0.2 g,69 g,0.5 g,3.5 g,12 g,0 g,,,,,,,,
0000005828,Dr. Oetker Proszek do pieczenia 30 g,artykuly-spozywcze,Y,w porcji 100 g,62 kcal,0.3 g,0.1 g,13 g,0.2 g,,1.9 g,48.5 g,,,,,,,,
0000004336,Nussbeisser Czekolada mleczna z całymi migdałami 100 g,artykuly-spozywcze,Y,w porcji 100 g,547 kcal,33 g,14 g,50 g,48 g,4.3 g,9.1 g,0.29 g,,,,,,,,
0000000962,Culineo Pieprz czarny mielony 80 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000015405,Marinero Tuńczyk jednolity w oleju słonecznikowym 3 x 70 g,artykuly-spozywcze,Y,w porcji 100 g,186 kcal,9 g,1 g,0.1 g,0 g,0 g,26 g,1.5 g,,,,,,,,
0000001726,Kamis Musztarda rosyjska 180 g,artykuly-spozywcze,Y,w porcji 100 g,141 kcal,8.4 g,0.5 g,8.9 g,6.6 g,,6 g,2.43 g,,,,,,,,
0000011978,Go Vege Hummus klasyczny 160 g,artykuly-spozywcze,Y,w porcji 100 g,269 kcal,21 g,2.7 g,7.9 g,0.5 g,9.8 g,7.3 g,0.82 g,,,,,,,,
0000009748,Knorr Nudle Zupa danie ser w ziołach 61 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000002467,Knorr Nudle Zupa-danie pomidorowe pikantne 63 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,,
0000006099,Mutti Passata butelka 700 g,artykuly-spozywcze,Y,w porcji 100 g,36 kcal,0.5 g,0.1 g,5.1 g,4.5 g,,1.6 g,0.5 g,,,,,,,,
0000007933,Vitanella Baton Protein bez dodatku cukrów 27% białka 49 g,artykuly-spozywcze,Y,w porcji 100 g,492 kcal,31 g,17 g,30 g,17 g,2.4 g,27 g,0.47 g,,,10 g,,,,,
0000005517,goBIO Ryż basmati 500g,artykuly-spozywcze,Y,w porcji 100 g,349 kcal,1.1 g,0.5 g,76 g,0.5 g,2.8 g,8.2 g,0.01 g,,,,,,,,
0000016247,Knorr Fix mac'n cheese 33 g ,artykuly-spozywcze,Y,w porcji 100 g,435 kcal,20 g,12 g,48 g,3.9 g,0.9 g,14 g,8.2 g,,,,,,,,
0000015091,Crunchips Pieczone Żeberka 140 g,artykuly-spozywcze,Y,w porcji 100 g,529 kcal,33 g,2.5 g,50 g,2.6 g,4.4 g,5.8 g,1.3 g,,,,,,,,
0000011638,Plony Natury Ryż parboiled długoziarnisty 400 g,artykuly-spozywcze,Y,w porcji 100 g,351 kcal,0.8 g,0 g,80 g,0 g,2.7 g,6.9 g,0 g,,,,,,,,
0000008782,Lajkonik Talarki krakowskie 200 g,artykuly-spozywcze,Y,w porcji 100 g,432 kcal,13 g,1.2 g,66 g,3 g,3.5 g,11 g,3.6 g,,,,,,,,
0000004157,"Halls Cukierki o smaku miodu i cytryny 33,5 g",artykuly-spozywcze,Y,w porcji 100 g,389 kcal,0 g,0 g,97 g,78 g,,0.02 g,0.08 g,,,,,,,,
0000009385,Zielnik Polski melisa 20 torebek 40 g,artykuly-spozywcze,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,,0 g,0 g,,,,,,,,
0000005119,Profi Pasztet z pomidorami 131 g,artykuly-spozywcze,Y,w porcji 100 g,210 kcal,17 g,5.5 g,5.7 g,1.3 g,,8.3 g,1.4 g,,,,,,,,
0000008750,Bonitki Setters Wafelek mleczno-orzechowy 4x25 g,artykuly-spozywcze,Y,w porcji 100 g,530 kcal,30 g,22 g,55 g,33 g,3.6 g,8.3 g,0.3 g,,,,,,,,
0000004047,Prince Polo Classic XXL wafelek 50 g,artykuly-spozywcze,Y,w porcji 100 g,526 kcal,29 g,16 g,58 g,39 g,3.8 g,5.6 g,0.32 g,,,,,,,,
0000003252,Rapsodia 100% Owoców Wiśnia 220 g,artykuly-spozywcze,Y,w porcji 100 g,150 kcal,0.5 g,0.1 g,33 g,31 g,,0.9 g,0.06 g,,,,,,,,
0000011842,Dobrusia Makaron spaghetti 500 g,artykuly-spozywcze,Y,w porcji 100 g,352 kcal,1.1 ,0.5 ,73 ,3.5 ,2.8 ,11 ,,,,,,,,,
0000009769,Pudliszki Sos do spaghetti oryginalny 500 g,artykuly-spozywcze,Y,w porcji 100 g,56 kcal,1 g,0.1 g,9 g,7.1 g,2.2 g,1.7 g,,,,,,,,,
0000016921,Lay's Chipsy ziemniaczane o smaku śmietankowego serka z ziołami 130 g,artykuly-spozywcze,Y,w porcji 100 g,525 kcal,32 g,3.4 g,50 g,2.1 g,4.4 g,6.8 g,1.7 g,,,,,,,,
0000000131,Plony Natury Fasola piękny Jaś 500g,artykuly-spozywcze,Y,w porcji 100 g,303 kcal,1.3 g,0.2 g,43 g,9.3 g,21 g,20 g,0.01 g,,,,,,,,
